row,cat_id,name,bucket,frequency,threshold,subset_total,num_positives,num_negatives,TP,FP,TN,FN,precision,recall,f1,weighted_f1
0,1,aerosol_can,medium,c,0.34,128,64,64,40,26,38,24,0.6061,0.625,0.6154,0.6098
1,2,air_conditioner,high,f,0.31,728,364,364,251,150,214,113,0.6259,0.6896,0.6562,0.6377
2,3,airplane,high,f,0.36,3822,1911,1911,1787,25,1886,124,0.9862,0.9351,0.96,0.9755
3,4,alarm_clock,high,f,0.33,298,149,149,82,17,132,67,0.8283,0.5503,0.6613,0.7523
4,5,alcohol,medium,c,0.37,58,29,29,16,0,29,13,1.0,0.5517,0.7111,0.8602
5,6,alligator,medium,c,0.3,52,26,26,20,12,14,6,0.625,0.7692,0.6897,0.6494
6,7,almond,medium,c,0.35,118,59,59,38,20,39,21,0.6552,0.6441,0.6496,0.6529
7,8,ambulance,medium,c,0.34,44,22,22,15,0,22,7,1.0,0.6818,0.8108,0.9146
8,9,amplifier,medium,c,0.29,24,12,12,12,2,10,0,0.8571,1.0,0.9231,0.8824
9,10,anklet,medium,c,0.35,56,28,28,9,1,27,19,0.9,0.3214,0.4737,0.6618
10,11,antenna,high,f,0.34,1010,505,505,316,183,322,189,0.6333,0.6257,0.6295,0.6317
11,12,apple,high,f,0.36,2414,1207,1207,702,67,1140,505,0.9129,0.5816,0.7105,0.8195
12,13,applesauce,weak,r,0.32,8,4,4,4,0,4,0,1.0,1.0,1.0,1.0
13,14,apricot,weak,r,0.36,20,10,10,5,0,10,5,1.0,0.5,0.6667,0.8333
14,15,apron,high,f,0.34,1000,500,500,345,129,371,155,0.7278,0.69,0.7084,0.7199
15,16,aquarium,medium,c,0.32,66,33,33,25,0,33,8,1.0,0.7576,0.8621,0.9398
16,17,arctic_(type_of_shoe),weak,r,0.2,6,3,3,3,3,0,0,0.5,1.0,0.6667,0.5556
17,18,armband,medium,c,0.32,88,44,44,39,24,20,5,0.619,0.8864,0.729,0.6588
18,19,armchair,high,f,0.34,1122,561,561,420,79,482,141,0.8417,0.7487,0.7925,0.8213
19,20,armoire,weak,r,0.34,16,8,8,7,5,3,1,0.5833,0.875,0.7,0.625
20,21,armor,weak,r,0.35,18,9,9,6,0,9,3,1.0,0.6667,0.8,0.9091
21,22,artichoke,medium,c,0.33,66,33,33,28,9,24,5,0.7568,0.8485,0.8,0.7735
22,23,trash_can,high,f,0.33,3766,1883,1883,1125,641,1242,758,0.637,0.5975,0.6166,0.6287
23,24,ashtray,medium,c,0.31,196,98,98,69,33,65,29,0.6765,0.7041,0.69,0.6818
24,25,asparagus,medium,c,0.35,140,70,70,52,2,68,18,0.963,0.7429,0.8387,0.9091
25,26,atomizer,medium,c,0.34,92,46,46,29,13,33,17,0.6905,0.6304,0.6591,0.6776
26,27,avocado,high,f,0.33,234,117,117,108,30,87,9,0.7826,0.9231,0.8471,0.8072
27,28,award,medium,c,0.35,82,41,41,15,2,39,26,0.8824,0.3659,0.5172,0.6881
28,29,awning,high,f,0.34,2790,1395,1395,712,229,1166,683,0.7566,0.5104,0.6096,0.6901
29,30,ax,weak,r,0.33,14,7,7,7,4,3,0,0.6364,1.0,0.7778,0.6863
30,31,baboon,weak,r,0.24,2,1,1,1,0,1,0,1.0,1.0,1.0,1.0
31,32,baby_buggy,high,f,0.33,628,314,314,240,180,134,74,0.5714,0.7643,0.654,0.6018
32,33,basketball_backboard,medium,c,0.34,62,31,31,18,2,29,13,0.9,0.5806,0.7059,0.8108
33,34,backpack,high,f,0.34,3810,1905,1905,1414,959,946,491,0.5959,0.7423,0.6611,0.6203
34,35,handbag,high,f,0.34,3718,1859,1859,994,587,1272,865,0.6287,0.5347,0.5779,0.6074
35,36,suitcase,high,f,0.36,3246,1623,1623,1124,104,1519,499,0.9153,0.6925,0.7885,0.86
36,37,bagel,medium,c,0.36,94,47,47,37,5,42,10,0.881,0.7872,0.8315,0.8605
37,38,bagpipe,weak,r,0.34,6,3,3,3,0,3,0,1.0,1.0,1.0,1.0
38,39,baguet,weak,r,0.34,6,3,3,3,1,2,0,0.75,1.0,0.8571,0.7895
39,40,bait,weak,r,0.35,2,1,1,1,0,1,0,1.0,1.0,1.0,1.0
40,41,ball,high,f,0.36,610,305,305,176,63,242,129,0.7364,0.577,0.6471,0.6979
41,42,ballet_skirt,weak,r,0.34,12,6,6,3,0,6,3,1.0,0.5,0.6667,0.8333
42,43,balloon,high,f,0.34,420,210,210,94,19,191,116,0.8319,0.4476,0.582,0.71
43,44,bamboo,medium,c,0.33,72,36,36,25,9,27,11,0.7353,0.6944,0.7143,0.7267
44,45,banana,high,f,0.36,3574,1787,1787,1116,111,1676,671,0.9095,0.6245,0.7405,0.8335
45,46,Band_Aid,medium,c,0.3,34,17,17,15,12,5,2,0.5556,0.8824,0.6818,0.6
46,47,bandage,medium,c,0.33,102,51,51,43,26,25,8,0.6232,0.8431,0.7167,0.6575
47,48,bandanna,high,f,0.32,276,138,138,116,91,47,22,0.5604,0.8406,0.6725,0.6004
48,49,banjo,weak,r,0.37,6,3,3,2,0,3,1,1.0,0.6667,0.8,0.9091
49,50,banner,high,f,0.34,2940,1470,1470,1025,676,794,445,0.6026,0.6973,0.6465,0.6194
50,51,barbell,weak,r,0.34,6,3,3,3,1,2,0,0.75,1.0,0.8571,0.7895
51,52,barge,weak,r,0.3,4,2,2,2,0,2,0,1.0,1.0,1.0,1.0
52,53,barrel,high,f,0.34,372,186,186,111,54,132,75,0.6727,0.5968,0.6325,0.656
53,54,barrette,medium,c,0.34,152,76,76,67,53,23,9,0.5583,0.8816,0.6837,0.6025
54,55,barrow,medium,c,0.35,52,26,26,11,1,25,15,0.9167,0.4231,0.5789,0.7432
55,56,baseball_base,high,f,0.38,606,303,303,281,4,299,22,0.986,0.9274,0.9558,0.9737
56,57,baseball,high,f,0.38,1476,738,738,625,21,717,113,0.9675,0.8469,0.9032,0.9407
57,58,baseball_bat,high,f,0.36,3598,1799,1799,1554,41,1758,245,0.9743,0.8638,0.9157,0.95
58,59,baseball_cap,high,f,0.34,3868,1934,1934,1123,268,1666,811,0.8073,0.5807,0.6755,0.7489
59,60,baseball_glove,high,f,0.37,3218,1609,1609,1452,33,1576,157,0.9778,0.9024,0.9386,0.9617
60,61,basket,high,f,0.33,3244,1622,1622,1105,785,837,517,0.5847,0.6813,0.6293,0.6017
61,62,basketball,medium,c,0.39,82,41,41,21,0,41,20,1.0,0.5122,0.6774,0.84
62,63,bass_horn,weak,r,0.35,8,4,4,3,0,4,1,1.0,0.75,0.8571,0.9375
63,64,bat_(animal),medium,c,0.33,22,11,11,5,1,10,6,0.8333,0.4545,0.5882,0.7143
64,65,bath_mat,high,f,0.36,540,270,270,218,19,251,52,0.9198,0.8074,0.86,0.8949
65,66,bath_towel,high,f,0.34,698,349,349,298,29,320,51,0.9113,0.8539,0.8817,0.8992
66,67,bathrobe,medium,c,0.34,84,42,42,37,3,39,5,0.925,0.881,0.9024,0.9158
67,68,bathtub,high,f,0.37,1646,823,823,711,37,786,112,0.9505,0.8639,0.9052,0.9318
68,69,batter_(food),weak,r,0.36,12,6,6,4,1,5,2,0.8,0.6667,0.7273,0.7692
69,70,battery,medium,c,0.36,96,48,48,42,5,43,6,0.8936,0.875,0.8842,0.8898
70,71,beachball,weak,r,0.38,6,3,3,2,0,3,1,1.0,0.6667,0.8,0.9091
71,72,bead,medium,c,0.33,84,42,42,29,8,34,13,0.7838,0.6905,0.7342,0.7632
72,73,bean_curd,medium,c,0.36,48,24,24,23,2,22,1,0.92,0.9583,0.9388,0.9274
73,74,beanbag,medium,c,0.35,32,16,16,14,1,15,2,0.9333,0.875,0.9032,0.9211
74,75,beanie,high,f,0.34,1210,605,605,424,224,381,181,0.6543,0.7008,0.6768,0.6631
75,76,bear,high,f,0.36,1292,646,646,576,22,624,70,0.9632,0.8916,0.926,0.948
76,77,bed,high,f,0.37,3530,1765,1765,1497,102,1663,268,0.9362,0.8482,0.89,0.9172
77,78,bedpan,weak,r,0.34,4,2,2,2,0,2,0,1.0,1.0,1.0,1.0
78,79,bedspread,high,f,0.36,250,125,125,106,12,113,19,0.8983,0.848,0.8724,0.8878
79,80,cow,high,f,0.36,2840,1420,1420,1237,63,1357,183,0.9515,0.8711,0.9096,0.9343
80,81,beef_(food),high,f,0.36,280,140,140,114,19,121,26,0.8571,0.8143,0.8352,0.8482
81,82,beeper,weak,r,0.34,8,4,4,4,3,1,0,0.5714,1.0,0.7273,0.625
82,83,beer_bottle,high,f,0.31,644,322,322,177,38,284,145,0.8233,0.5497,0.6592,0.7487
83,84,beer_can,medium,c,0.33,120,60,60,43,10,50,17,0.8113,0.7167,0.7611,0.7904
84,85,beetle,weak,r,0.3,4,2,2,2,0,2,0,1.0,1.0,1.0,1.0
85,86,bell,high,f,0.33,462,231,231,165,113,118,66,0.5935,0.7143,0.6483,0.6143
86,87,bell_pepper,high,f,0.33,666,333,333,253,76,257,80,0.769,0.7598,0.7644,0.7671
87,88,belt,high,f,0.34,3882,1941,1941,1328,608,1333,613,0.686,0.6842,0.6851,0.6856
88,89,belt_buckle,high,f,0.31,734,367,367,201,84,283,166,0.7053,0.5477,0.6166,0.6669
89,90,bench,high,f,0.35,3844,1922,1922,1010,175,1747,912,0.8523,0.5255,0.6501,0.758
90,91,beret,medium,c,0.34,36,18,18,14,6,12,4,0.7,0.7778,0.7368,0.7143
91,92,bib,medium,c,0.35,162,81,81,61,15,66,20,0.8026,0.7531,0.7771,0.7922
92,93,Bible,weak,r,0.32,2,1,1,1,0,1,0,1.0,1.0,1.0,1.0
93,94,bicycle,high,f,0.34,3704,1852,1852,1222,190,1662,630,0.8654,0.6598,0.7488,0.8147
94,95,visor,high,f,0.33,860,430,430,402,372,58,28,0.5194,0.9349,0.6678,0.5701
95,96,billboard,high,f,0.33,494,247,247,148,31,216,99,0.8268,0.5992,0.6948,0.7684
96,97,binder,medium,c,0.34,188,94,94,48,9,85,46,0.8421,0.5106,0.6358,0.7453
97,98,binoculars,medium,c,0.31,42,21,21,15,9,12,6,0.625,0.7143,0.6667,0.641
98,99,bird,high,f,0.36,3642,1821,1821,1125,68,1753,696,0.943,0.6178,0.7465,0.8532
99,100,birdfeeder,medium,c,0.33,32,16,16,16,0,16,0,1.0,1.0,1.0,1.0
100,101,birdbath,medium,c,0.32,24,12,12,12,3,9,0,0.8,1.0,0.8889,0.8333
101,102,birdcage,medium,c,0.35,50,25,25,19,6,19,6,0.76,0.76,0.76,0.76
102,103,birdhouse,medium,c,0.31,82,41,41,25,6,35,16,0.8065,0.6098,0.6944,0.7576
103,104,birthday_cake,high,f,0.36,488,244,244,220,4,240,24,0.9821,0.9016,0.9402,0.9649
104,105,birthday_card,weak,r,0.3,14,7,7,5,1,6,2,0.8333,0.7143,0.7692,0.8065
105,106,pirate_flag,weak,r,0.31,2,1,1,1,0,1,0,1.0,1.0,1.0,1.0
106,107,black_sheep,medium,c,0.36,80,40,40,36,1,39,4,0.973,0.9,0.9351,0.9574
107,108,blackberry,medium,c,0.33,80,40,40,30,12,28,10,0.7143,0.75,0.7317,0.7212
108,109,blackboard,high,f,0.3,208,104,104,75,32,72,29,0.7009,0.7212,0.7109,0.7049
109,110,blanket,high,f,0.36,3342,1671,1671,1110,113,1558,561,0.9076,0.6643,0.7671,0.8456
110,111,blazer,medium,c,0.33,98,49,49,31,14,35,18,0.6889,0.6327,0.6596,0.6769
111,112,blender,high,f,0.35,486,243,243,174,48,195,69,0.7838,0.716,0.7484,0.7692
112,113,blimp,weak,r,0.32,4,2,2,2,0,2,0,1.0,1.0,1.0,1.0
113,114,blinker,high,f,0.34,484,242,242,210,172,70,32,0.5497,0.8678,0.6731,0.5932
114,115,blouse,high,f,0.31,542,271,271,180,72,199,91,0.7143,0.6642,0.6883,0.7037
115,116,blueberry,high,f,0.36,208,104,104,58,3,101,46,0.9508,0.5577,0.703,0.8333
116,117,gameboard,weak,r,0.32,16,8,8,7,2,6,1,0.7778,0.875,0.8235,0.7955
117,118,boat,high,f,0.35,3516,1758,1758,1292,56,1702,466,0.9585,0.7349,0.8319,0.9035
118,119,bob,weak,r,0.34,2,1,1,1,0,1,0,1.0,1.0,1.0,1.0
119,120,bobbin,medium,c,0.33,96,48,48,48,42,6,0,0.5333,1.0,0.6957,0.5882
120,121,bobby_pin,medium,c,0.33,28,14,14,12,10,4,2,0.5455,0.8571,0.6667,0.5882
121,122,boiled_egg,medium,c,0.31,80,40,40,33,16,24,7,0.6735,0.825,0.7416,0.6992
122,123,bolo_tie,weak,r,0.2,2,1,1,1,1,0,0,0.5,1.0,0.6667,0.5556
123,124,deadbolt,medium,c,0.34,74,37,37,23,15,22,14,0.6053,0.6216,0.6133,0.6085
124,125,bolt,high,f,0.34,3020,1510,1510,1119,640,870,391,0.6362,0.7411,0.6846,0.6547
125,126,bonnet,weak,r,0.34,12,6,6,5,1,5,1,0.8333,0.8333,0.8333,0.8333
126,127,book,high,f,0.34,3806,1903,1903,1088,216,1687,815,0.8344,0.5717,0.6785,0.7642
127,128,bookcase,medium,c,0.35,140,70,70,54,6,64,16,0.9,0.7714,0.8308,0.871
128,129,booklet,medium,c,0.33,172,86,86,27,2,84,59,0.931,0.314,0.4696,0.6683
129,130,bookmark,weak,r,0.34,14,7,7,6,0,7,1,1.0,0.8571,0.9231,0.9677
130,131,boom_microphone,weak,r,0.29,10,5,5,5,3,2,0,0.625,1.0,0.7692,0.6757
131,132,boot,high,f,0.32,2812,1406,1406,1217,979,427,189,0.5542,0.8656,0.6757,0.5972
132,133,bottle,high,f,0.32,3802,1901,1901,1184,720,1181,717,0.6218,0.6228,0.6223,0.622
