row,cat_id,name,bucket,confidence,frequency,threshold,total_images,num_positives,num_negatives,TP,FP,TN,FN,precision,recall,f1,weighted_f1
0,1,aerosol_can,medium,medium,c,0.35,100169,64,100105,26,21392,78713,38,0.0012,0.4062,0.0024,0.0015
1,2,air_conditioner,high,high,f,0.38,100169,364,99805,7,458,99347,357,0.0151,0.0192,0.0169,0.0157
2,3,airplane,high,high,f,0.39,100169,1911,98258,1298,464,97794,613,0.7367,0.6792,0.7068,0.7244
3,4,alarm_clock,high,high,f,0.42,100169,149,100020,4,33,99987,145,0.1081,0.0268,0.043,0.0673
4,5,alcohol,medium,medium,c,0.41,100169,29,100140,6,155,99985,23,0.0373,0.2069,0.0632,0.0446
5,6,alligator,medium,medium,c,0.3,100169,26,100143,20,50954,49189,6,0.0004,0.7692,0.0008,0.0005
6,7,almond,medium,medium,c,0.38,100169,59,100110,2,690,99420,57,0.0029,0.0339,0.0053,0.0035
7,8,ambulance,medium,medium,c,0.43,100169,22,100147,2,42,100105,20,0.0455,0.0909,0.0606,0.0505
8,9,amplifier,medium,medium,c,0.36,100169,12,100157,2,1543,98614,10,0.0013,0.1667,0.0026,0.0016
9,10,anklet,medium,medium,c,0.36,100169,28,100141,6,6269,93872,22,0.001,0.2143,0.0019,0.0012
10,11,antenna,high,high,f,0.37,100169,505,99664,55,3873,95791,450,0.014,0.1089,0.0248,0.017
11,12,apple,high,high,f,0.4,100169,1207,98962,226,154,98808,981,0.5947,0.1872,0.2848,0.4144
12,13,applesauce,weak,low,r,0.45,100169,4,100165,0,0,100165,4,0.0,0.0,0.0,0.0
13,14,apricot,weak,low,r,0.45,100169,10,100159,0,4,100155,10,0.0,0.0,0.0,0.0
14,15,apron,high,high,f,0.36,100169,500,99669,125,4336,95333,375,0.028,0.25,0.0504,0.0341
15,16,aquarium,medium,medium,c,0.41,100169,33,100136,3,16,100120,30,0.1579,0.0909,0.1154,0.1376
16,17,arctic_(type_of_shoe),weak,low,r,0.45,100169,3,100166,0,0,100166,3,0.0,0.0,0.0,0.0
17,18,armband,medium,medium,c,0.35,100169,44,100125,9,8352,91773,35,0.0011,0.2045,0.0021,0.0013
18,19,armchair,high,high,f,0.4,100169,561,99608,56,413,99195,505,0.1194,0.0998,0.1087,0.1149
19,20,armoire,weak,low,r,0.45,100169,8,100161,0,0,100161,8,0.0,0.0,0.0,0.0
20,21,armor,weak,low,r,0.45,100169,9,100160,0,0,100160,9,0.0,0.0,0.0,0.0
21,22,artichoke,medium,medium,c,0.37,100169,33,100136,8,1582,98554,25,0.005,0.2424,0.0099,0.0063
22,23,trash_can,high,high,f,0.38,100169,1883,98286,173,2756,95530,1710,0.0591,0.0919,0.0719,0.0636
23,24,ashtray,medium,medium,c,0.35,100169,98,100071,23,7375,92696,75,0.0031,0.2347,0.0061,0.0039
24,25,asparagus,medium,medium,c,0.43,100169,70,100099,2,14,100085,68,0.125,0.0286,0.0465,0.0746
25,26,atomizer,medium,medium,c,0.36,100169,46,100123,7,6347,93776,39,0.0011,0.1522,0.0022,0.0014
26,27,avocado,high,high,f,0.43,100169,117,100052,2,16,100036,115,0.1111,0.0171,0.0296,0.0529
27,28,award,medium,medium,c,0.37,100169,41,100128,1,222,99906,40,0.0045,0.0244,0.0076,0.0054
28,29,awning,high,high,f,0.37,100169,1395,98774,186,2064,96710,1209,0.0827,0.1333,0.1021,0.0895
29,30,ax,weak,low,r,0.45,100169,7,100162,0,0,100162,7,0.0,0.0,0.0,0.0
