ram_row,ram_tag,lvis_row,lvis_name,matched_surface,rule,ram_rule,via_synonym,threshold,applied,note
24,antenna,10,antenna,antenna,exact,exact,0,0.3400,1,
26,spray can,0,aerosol_can,spray can,exact,exact,1,0.3400,1,
30,air conditioner,1,air_conditioner,air conditioner,exact,exact,0,0.3100,1,
32,air sock,1186,windsock,air sock,exact,exact,1,0.3500,1,
48,alarm clock,3,alarm_clock,alarm clock,exact,exact,0,0.3300,1,
52,alcohol,4,alcohol,alcohol,exact,exact,0,0.3700,1,
56,almond,6,almond,almond,exact,exact,0,0.3500,1,
64,ambulance,7,ambulance,ambulance,exact,exact,0,0.3400,1,
69,amplifier,8,amplifier,amplifier,exact,exact,0,0.2900,1,
85,anklet,9,anklet,anklet,exact,exact,0,0.3500,1,
87,trench coat,1117,trench_coat,trench coat,exact,exact,0,0.3200,1,
101,apple,11,apple,apple,exact,exact,0,0.3600,1,
105,applesauce,12,applesauce,applesauce,exact,exact,0,0.3200,1,
109,apricot,13,apricot,apricot,exact,exact,0,0.3600,1,
110,apron,14,apron,apron,exact,exact,0,0.3400,1,
112,aquarium,15,aquarium,aquarium,exact,exact,0,0.3200,1,
131,armband,17,armband,armband,exact,exact,0,0.3200,1,
132,armchair,18,armchair,armchair,exact,exact,0,0.3400,1,
133,armoire,19,armoire,armoire,exact,exact,0,0.3400,1,
134,armor,20,armor,armor,exact,exact,0,0.3500,1,
137,army tank,1057,army_tank,army tank,exact,exact,0,0.3400,1,
148,artichoke,21,artichoke,artichoke,exact,exact,0,0.3300,1,
154,ashtray,23,ashtray,ashtray,exact,exact,0,0.3100,1,
156,asparagus,24,asparagus,asparagus,exact,exact,0,0.3500,1,
171,fighter jet,435,fighter_jet,fighter jet,exact,exact,0,0.3300,1,
175,eggplant,418,eggplant,eggplant,exact,exact,0,0.3600,1,
187,car battery,209,car_battery,car battery,exact,exact,0,0.2800,1,
190,motor vehicle,701,motor_vehicle,motor vehicle,exact,exact,0,0.3000,1,
199,avocado,26,avocado,avocado,exact,exact,0,0.3300,1,
200,award,27,award,award,exact,exact,0,0.3500,1,
204,ax,29,ax,ax,exact,exact,0,0.3300,1,
206,baboon,30,baboon,baboon,exact,exact,0,0.2400,1,
