lvis_row,cat_id,name,ram_row,ram_tag,bucket,frequency,target,threshold,subset_total,num_positives,num_negatives,TP,FP,TN,FN,precision,recall,target_met,best_precision,reason
0,1,aerosol_can,26,spray can,medium,c,0.8,,128,64,64,,,,,,,0,0.6875,unreachable
1,2,air_conditioner,30,air conditioner,high,f,0.8,,728,364,364,,,,,,,0,0.7097,unreachable
2,3,airplane,,,high,f,0.8,,,,,,,,,,,0,,unmapped
3,4,alarm_clock,48,alarm clock,high,f,0.8,0.325,298,149,149,90,22,127,59,0.8036,0.604,1,1.0,ok
4,5,alcohol,52,alcohol,medium,c,0.8,0.345,58,29,29,25,5,24,4,0.8333,0.8621,1,1.0,ok
5,6,alligator,,,medium,c,0.8,,,,,,,,,,,0,,unmapped
6,7,almond,56,almond,medium,c,0.8,0.37,118,59,59,10,2,57,49,0.8333,0.1695,1,1.0,ok
7,8,ambulance,64,ambulance,medium,c,0.8,0.32,44,22,22,16,2,20,6,0.8889,0.7273,1,1.0,ok
8,9,amplifier,69,amplifier,medium,c,0.8,,,12,,,,,,,,0,,low_gt
9,10,anklet,85,anklet,medium,c,0.8,,56,28,28,,,,,,,0,0.75,unreachable
10,11,antenna,24,antenna,high,f,0.8,,1010,505,505,,,,,,,0,0.7923,unreachable
11,12,apple,101,apple,high,f,0.8,0.35,2414,1207,1207,835,151,1056,372,0.8469,0.6918,1,1.0,ok
12,13,applesauce,105,applesauce,weak,r,0.8,,,4,,,,,,,,0,,low_gt
13,14,apricot,109,apricot,weak,r,0.8,,,10,,,,,,,,0,,low_gt
14,15,apron,110,apron,high,f,0.8,0.355,1000,500,500,188,44,456,312,0.8103,0.376,1,1.0,ok
15,16,aquarium,112,aquarium,medium,c,0.8,0.3,66,33,33,29,4,29,4,0.8788,0.8788,1,1.0,ok
16,17,arctic_(type_of_shoe),,,weak,r,0.8,,,,,,,,,,,0,,unmapped
17,18,armband,131,armband,medium,c,0.8,,88,44,44,,,,,,,0,0.6667,unreachable
18,19,armchair,132,armchair,high,f,0.8,0.33,1122,561,561,468,115,446,93,0.8027,0.8342,1,1.0,ok
19,20,armoire,133,armoire,weak,r,0.8,,,8,,,,,,,,0,,low_gt
20,21,armor,134,armor,weak,r,0.8,,,9,,,,,,,,0,,low_gt
21,22,artichoke,148,artichoke,medium,c,0.8,0.335,66,33,33,24,6,27,9,0.8,0.7273,1,1.0,ok
22,23,trash_can,,,high,f,0.8,,,,,,,,,,,0,,unmapped
23,24,ashtray,154,ashtray,medium,c,0.8,,196,98,98,,,,,,,0,0.7895,unreachable
24,25,asparagus,156,asparagus,medium,c,0.8,0.32,140,70,70,69,12,58,1,0.8519,0.9857,1,1.0,ok
25,26,atomizer,3830,spray,medium,c,0.8,0.35,92,46,46,20,5,41,26,0.8,0.4348,1,0.8333,ok
26,27,avocado,199,avocado,high,f,0.8,0.34,234,117,117,92,23,94,25,0.8,0.7863,1,0.9524,ok
27,28,award,200,award,medium,c,0.8,0.345,82,41,41,22,5,36,19,0.8148,0.5366,1,0.8889,ok
28,29,awning,,,high,f,0.8,,,,,,,,,,,0,,unmapped
29,30,ax,204,ax,weak,r,0.8,,,7,,,,,,,,0,,low_gt
30,31,baboon,206,baboon,weak,r,0.8,,,1,,,,,,,,0,,low_gt
31,32,baby_buggy,209,baby carriage,high,f,0.8,0.375,628,314,314,20,4,310,294,0.8333,0.0637,1,1.0,ok
32,33,basketball_backboard,311,basketball backboard,medium,c,0.8,0.33,62,31,31,20,4,27,11,0.8333,0.6452,1,1.0,ok
33,34,backpack,218,backpack,high,f,0.8,0.36,3810,1905,1905,474,113,1792,1431,0.8075,0.2488,1,1.0,ok
34,35,handbag,2014,handbag,high,f,0.8,0.355,3718,1859,1859,385,95,1764,1474,0.8021,0.2071,1,0.8195,ok
35,36,suitcase,2500,luggage,high,f,0.8,0.33,3246,1623,1623,1437,344,1279,186,0.8069,0.8854,1,1.0,ok
36,37,bagel,227,bagel,medium,c,0.8,0.335,94,47,47,44,11,36,3,0.8,0.9362,1,1.0,ok
37,38,bagpipe,228,bagpipe,weak,r,0.8,,,3,,,,,,,,0,,low_gt
38,39,baguet,229,baguette,weak,r,0.8,,,3,,,,,,,,0,,low_gt
39,40,bait,230,bait,weak,r,0.8,,,1,,,,,,,,0,,low_gt
40,41,ball,239,ball,high,f,0.8,0.385,610,305,305,61,15,290,244,0.8026,0.2,1,1.0,ok
41,42,ballet_skirt,244,ballet skirt,weak,r,0.8,,,6,,,,,,,,0,,low_gt
42,43,balloon,245,balloon,high,f,0.8,0.34,420,210,210,93,18,192,117,0.8378,0.4429,1,1.0,ok
43,44,bamboo,249,bamboo,medium,c,0.8,0.35,72,36,36,14,3,33,22,0.8235,0.3889,1,1.0,ok
44,45,banana,251,banana,high,f,0.8,0.35,3574,1787,1787,1308,260,1527,479,0.8342,0.732,1,1.0,ok
45,46,Band_Aid,256,band aid,medium,c,0.8,,,17,,,,,,,,0,,low_gt
46,47,bandage,257,bandage,medium,c,0.8,0.36,102,51,51,9,2,49,42,0.8182,0.1765,1,1.0,ok
47,48,bandanna,,,high,f,0.8,,,,,,,,,,,0,,unmapped
48,49,banjo,263,banjo,weak,r,0.8,,,3,,,,,,,,0,,low_gt
49,50,banner,268,banner,high,f,0.8,0.37,2940,1470,1470,70,12,1458,1400,0.8537,0.0476,1,1.0,ok
50,51,barbell,279,barbell,weak,r,0.8,,,3,,,,,,,,0,,low_gt
51,52,barge,283,barge,weak,r,0.8,,,2,,,,,,,,0,,low_gt
52,53,barrel,290,barrel,high,f,0.8,0.385,372,186,186,10,1,185,176,0.9091,0.0538,1,1.0,ok
53,54,barrette,,,medium,c,0.8,,,,,,,,,,,0,,unmapped
54,55,barrow,,,medium,c,0.8,,,,,,,,,,,0,,unmapped
55,56,baseball_base,296,baseball base,high,f,0.8,0.31,606,303,303,303,69,234,0,0.8145,1.0,1,1.0,ok
56,57,baseball,295,baseball,high,f,0.8,0.325,1476,738,738,714,158,580,24,0.8188,0.9675,1,1.0,ok
57,58,baseball_bat,297,baseball bat,high,f,0.8,0.32,3598,1799,1799,1727,330,1469,72,0.8396,0.96,1,1.0,ok
58,59,baseball_cap,2281,jockey cap,high,f,0.8,0.345,3868,1934,1934,939,232,1702,995,0.8019,0.4855,1,0.9,ok
59,60,baseball_glove,301,baseball glove,high,f,0.8,0.305,3218,1609,1609,1590,355,1254,19,0.8175,0.9882,1,1.0,ok
60,61,basket,308,basket,high,f,0.8,0.385,3244,1622,1622,37,9,1613,1585,0.8043,0.0228,1,1.0,ok
61,62,basketball,310,basketball,medium,c,0.8,0.34,82,41,41,32,8,33,9,0.8,0.7805,1,1.0,ok
62,63,bass_horn,321,bass horn,weak,r,0.8,,,4,,,,,,,,0,,low_gt
63,64,bat_(animal),323,bat,medium,c,0.8,,,11,,,,,,,,0,,low_gt
64,65,bath_mat,326,bath mat,high,f,0.8,0.33,540,270,270,258,64,206,12,0.8012,0.9556,1,1.0,ok
65,66,bath_towel,327,bath towel,high,f,0.8,0.32,698,349,349,330,68,281,19,0.8291,0.9456,1,1.0,ok
66,67,bathrobe,329,bathrobe,medium,c,0.8,0.32,84,42,42,41,8,34,1,0.8367,0.9762,1,1.0,ok
67,68,bathtub,,,high,f,0.8,,,,,,,,,,,0,,unmapped
68,69,batter_(food),340,batter,weak,r,0.8,,,6,,,,,,,,0,,low_gt
69,70,battery,341,battery,medium,c,0.8,0.355,96,48,48,44,9,39,4,0.8302,0.9167,1,1.0,ok
70,71,beachball,,,weak,r,0.8,,,,,,,,,,,0,,unmapped
71,72,bead,358,bead,medium,c,0.8,0.345,84,42,42,19,3,39,23,0.8636,0.4524,1,1.0,ok
72,73,bean_curd,4177,tofu,medium,c,0.8,0.325,48,24,24,24,6,18,0,0.8,1.0,1,1.0,ok
73,74,beanbag,365,beanbag,medium,c,0.8,,,16,,,,,,,,0,,low_gt
74,75,beanie,,,high,f,0.8,,,,,,,,,,,0,,unmapped
75,76,bear,366,bear,high,f,0.8,0.335,1292,646,646,614,137,509,32,0.8176,0.9505,1,0.996,ok
76,77,bed,375,bed,high,f,0.8,0.345,3530,1765,1765,1704,381,1384,61,0.8173,0.9654,1,1.0,ok
77,78,bedpan,380,bedpan,weak,r,0.8,,,2,,,,,,,,0,,low_gt
78,79,bedspread,376,bedcover,high,f,0.8,0.34,250,125,125,115,24,101,10,0.8273,0.92,1,1.0,ok
79,80,cow,1160,cow,high,f,0.8,0.33,2840,1420,1420,1363,277,1143,57,0.8311,0.9599,1,1.0,ok
80,81,beef_(food),385,beef,high,f,0.8,0.35,280,140,140,137,28,112,3,0.8303,0.9786,1,1.0,ok
81,82,beeper,387,beeper,weak,r,0.8,,,4,,,,,,,,0,,low_gt
82,83,beer_bottle,389,beer bottle,high,f,0.8,0.305,644,322,322,189,42,280,133,0.8182,0.587,1,0.9524,ok
83,84,beer_can,390,beer can,medium,c,0.8,0.33,120,60,60,43,10,50,17,0.8113,0.7167,1,1.0,ok
84,85,beetle,395,beetle,weak,r,0.8,,,2,,,,,,,,0,,low_gt
85,86,bell,,,high,f,0.8,,,,,,,,,,,0,,unmapped
86,87,bell_pepper,398,bell pepper,high,f,0.8,0.34,666,333,333,71,17,316,262,0.8068,0.2132,1,1.0,ok
87,88,belt,400,belt,high,f,0.8,,3882,1941,1941,,,,,,,0,0.7654,unreachable
88,89,belt_buckle,401,belt buckle,high,f,0.8,0.335,734,367,367,73,14,353,294,0.8391,0.1989,1,0.9655,ok
89,90,bench,402,bench,high,f,0.8,0.345,3844,1922,1922,1108,243,1679,814,0.8201,0.5765,1,1.0,ok
